Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	50	8.8	0.831384	8.43195	0.808762	2.228e-05
2	50	9.8	0.871321	9.4739	0.865032	1.518e-05
4	50	10.8	0.73973	10.6005	0.72908	5.66e-06
8	50	11.8	1.00757	11.2935	0.982359	1.214e-05
16	50	11.6	0.910385	11.1735	0.879858	1.332e-05
32	50	10.2	0.9996	9.724	0.970278	2.082e-05
64	50	11.6	0.95331	11.0455	0.912256	3.612e-05
128	50	15.4	0.759474	14.5005	0.71006	9.676e-05
256	50	15.4	0.70484	14.3735	0.636118	0.00020284
512	50	15	0.707107	14.0125	0.638164	0.00031564
1024	50	14.2	0.697997	13.2905	0.629942	0.0006642
2048	50	15.2	0.706541	14.193	0.637653	0.00151826
4096	50	14	0.69282	13.11	0.62527	0.00318524
8192	50	14.8	0.706541	13.832	0.637653	0.00715648
16384	50	14.6	0.70484	13.6515	0.636118	0.0153136
32768	50	14.6	0.70484	13.6515	0.636118	0.035055
65536	50	14.4	0.701997	13.471	0.633552	0.0750366
131072	50	15.8	0.697997	14.7345	0.629942	0.160027
262144	50	14.6	0.70484	13.6515	0.636118	0.317081
524288	50	13.8	0.68644	12.9295	0.619512	0.637085
1048576	50	16	0.69282	14.915	0.62527	1.48652
