Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	0.73	0.219014	0.0990249	0.051665	0.00534695
2	1000	1.5	0.311689	0.293249	0.0837265	0.00953335
4	1000	2.95	0.36742	0.405272	0.107575	0.0183426
8	1000	6.45	0.432085	1.11265	0.126029	0.0347184
16	1000	8.26	0.48412	1.36868	0.165364	0.0844774
32	1000	14.92	0.526302	3.51154	0.187307	0.192366
64	1000	19.29	0.604314	5.01017	0.218152	0.251192
128	1000	22.09	0.617035	6.41956	0.225119	0.357129
256	1000	25.62	0.612222	7.60771	0.219466	0.69411
512	1000	23.3	0.615719	7.84751	0.236314	1.49238
1024	1000	22.47	0.657723	8.07102	0.235568	2.99183
2048	1000	23.21	0.487848	7.42536	0.183401	6.32849
4096	1000	21.04	0.470657	7.49046	0.185524	12.8548
