Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	0.92	0.206769	0.208339	0.0533311	0.00510529
2	1000	1.48	0.255753	0.226994	0.0634585	0.00721743
4	1000	2.75	0.285898	0.376718	0.0750239	0.0150238
8	1000	13.66	0.406945	1.91537	0.100366	0.025349
16	1000	6.97	0.367857	0.893565	0.0931324	0.0531613
32	1000	10.86	0.415043	2.311	0.12795	0.0954192
64	1000	15.48	0.421627	3.25793	0.135838	0.191754
128	1000	21.62	0.464947	5.124	0.147285	0.341811
256	1000	26.58	0.497497	6.19252	0.154156	0.644942
512	1000	28.97	0.54867	7.27203	0.188912	1.22259
1024	1000	23.97	0.655545	7.27849	0.2251	2.41545
2048	1000	24.12	0.643759	7.8102	0.228896	4.67554
4096	1000	25.85	0.586922	8.0195	0.221082	9.54954
