Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	    1000	1.38	0.26776	    0.218217	0.074149	0.00136585
2	    1000	1.51	0.298362	0.247685	0.0806628	0.00256134
4	    1000	3.49	0.382256	0.554361	0.110389	0.00496804
8	    1000	5.75	0.473537	0.997656	0.145762	0.00986768
16	    1000	8.44	0.571635	1.60213	    0.17444	    0.0183432
32	    1000	13	    0.664831	2.37156	    0.217992	0.0351636
64	    1000	16.13	0.702939	3.20683	    0.250541	0.0623633
128	    1000	20.94	0.710856	4.7252	    0.266929	0.109813
256	    1000	22.09	0.685953	5.43957	    0.27218	    0.195899
512	    1000	24.61	0.665168	6.94079	    0.276171	0.358797
1024	1000	25.35	0.631884	7.76486	    0.2724	    0.682631
2048	1000	27.59	0.590671	9.17142	    0.271403	1.22343
4096	1000	33.18	0.509596	11.9398	    0.234514	2.19867
8192	935	    33.508	0.48929	    13.3402	    0.204474	3.85119
16384	434	    34.0323	0.717784	14.1606	    0.294679	8.3049
32768	223	    34.2152	1.03468	    14.8682	    0.461309	16.205
