Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	    1000	0.49	0.211329	0.0479847	0.0547222	0.00265374
2	    1000	5.95	0.300828	0.806005	0.0749494	0.0047001
4	    1000	17.2	0.419476	2.16693	    0.0987071	0.00781967
8	    1000	31.12	0.551675	3.89891	    0.124986	0.0132324
16	    1000	39.88	0.598152	5.14516	    0.14848 	0.0321208
32	    1000	46.71	0.576781	7.74043 	0.168432	0.0710595
64	    1000	48.56	0.570374	9.28963 	0.183619	0.0732361
128	    1000	50.01	0.544885	10.9444 	0.184782	0.140718
256	    1000	49.31	0.60052	    12.2111 	0.199155	0.268819
512	    1000	56.55	0.593125	14.7558 	0.212576	0.493284
1024	1000	61.64	0.558668	17.5841	    0.212526	0.912611
2048	1000	62.82	0.537073	18.8645 	0.218198	1.77919
4096	1000	63.25	0.526818	20.1052 	0.213788	3.52604
8192	1000	62.12	0.535822	20.5146	    0.232195	6.97695
16384	1000	61.28	0.531001	20.9627	    0.228424	13.5321
32768	1000	60.59	0.527211	21.1761	    0.220077	27.0547
