Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	0.12	0.23997	-0.0431285	0.0649548	0.00125368
2	1000	-0.28	0.239419	-0.0695568	0.0670881	0.00246939
4	1000	0.28	0.247632	0.040746	0.065485	0.00453699
8	1000	0.05	0.250395	0.017288	0.0692112	0.00815286
16	1000	0.66	0.266391	0.05981	0.061235	0.0178681
32	1000	2.6	0.2772	0.341421	0.0660419	0.035141
64	1000	2.84	0.294507	0.39566	0.0711895	0.0676885
128	1000	4.9	0.280339	0.583171	0.0666713	0.129968
256	1000	5.49	0.261075	0.757651	0.0625649	0.258143
512	1000	5.89	0.251014	0.842005	0.0576366	0.592879
1024	1000	5.78	0.241644	0.785629	0.0534828	1.20685
