Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	0.92	0.206769	0.208339	0.0533311	0.00601144
2	1000	1.48	0.255753	0.226994	0.0634585	0.00893083
4	1000	7.31	0.337141	0.983152	0.0847467	0.0156656
8	1000	16.78	0.464146	2.1799	0.106125	0.0271876
16	1000	17.89	0.490151	2.6179	0.1195	0.0541921
32	1000	20.51	0.513459	3.92757	0.142083	0.0972424
64	1000	28.18	0.530554	5.60471	0.155008	0.160953
128	1000	35.27	0.590362	7.67229	0.171134	0.279956
256	1000	43.53	0.582442	10.0861	0.17416	0.512956
512	1000	54.05	0.591352	13.0826	0.194811	0.824856
1024	1000	57.49	0.540555	15.479	0.203328	1.37976
2048	1000	60.27	0.536682	18.1043	0.22241	2.47585
4096	1000	59.66	0.53262	19.4294	0.228278	4.61319
8192	1000	59.21	0.517374	20.3903	0.225027	8.78918
