Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	0.92	0.206769	0.208339	0.0533311	0.00485067
2	1000	1.48	0.255753	0.226994	0.0634585	0.00795641
4	1000	2.36	0.308594	0.467393	0.0789264	0.0148226
8	1000	13.08	0.4139	1.76547	0.105389	0.0235017
16	1000	5.96	0.40383	0.966414	0.115672	0.0471321
32	1000	11.43	0.440971	2.33101	0.145087	0.0929329
64	1000	17.71	0.491382	4.23398	0.166363	0.185635
128	1000	21.78	0.511695	5.40124	0.176432	0.382333
256	1000	27.04	0.569244	7.44748	0.185016	0.883296
512	1000	29.87	0.583852	8.3325	0.204046	1.24222
1024	1000	25.29	0.690012	8.64205	0.250226	2.57699
2048	1000	22.97	0.621996	8.01	0.218024	5.2972
4096	1000	24.16	0.538233	7.4203	0.20147	10.9753
8192	1000	23.95	0.539349	8.19239	0.199558	22.544
