Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	1.16	0.335342	0.203119	0.0885565	0.00444068
2	1000	3.41	0.388937	0.746014	0.108573	0.00929192
4	1000	4.21	0.431713	1.07715	0.137207	0.0167918
8	1000	3.37	0.511999	1.41359	0.184011	0.0328362
16	1000	3.66	0.573589	1.28877	0.227628	0.0628314
32	1000	5.34	0.616023	2.07238	0.258856	0.0984778
64	1000	6.07	0.622941	2.71312	0.260828	0.174844
128	1000	7.54	0.616886	2.99672	0.244588	0.527445
256	1000	6.43	0.5718	3.20752	0.224357	0.699573
512	1000	7.94	0.562811	3.69607	0.217573	1.44173
1024	1000	11.66	0.446816	4.45863	0.165443	3.00426
2048	1000	9.18	0.333058	4.73461	0.155646	6.21826
4096	808	9.92574	0.367546	5.5297	0.183678	12.3867
8192	395	9.29114	0.556971	5.61038	0.280487	25.3707
16384	189	11.164	0.76205	6.79008	0.411208	52.958
32768	78	14.4872	1.51312	8.9588	0.81333	129.412
