Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	5	8	1.78885	5.65902	2.19802	2.74e-05
2	5	16	2.19089	12.946	2.33526	2.72e-05
4	5	10	2.82843	8.9395	2.89566	1.76e-05
8	5	12	3.34664	10.6182	3.0229	3.14e-05
16	5	10	2.82843	9.14376	2.81916	5.1e-05
32	5	12	3.34664	10.592	3.18227	0.0001038
64	5	10	2.82843	9.11975	2.70194	0.0001232
128	5	10	2.82843	9.02475	2.7006	0.0002652
256	5	10	2.82843	9.215	2.83034	0.0004882
512	5	10	2.82843	8.83475	2.69591	0.0010458
1024	5	14	2.19089	12.6445	1.98248	0.0025018
2048	5	16	2.19089	14.4542	1.98248	0.0047326
4096	5	16	2.19089	14.4542	1.98248	0.0080328
8192	5	16	2.19089	14.4542	1.98248	0.0163948
16384	5	14	2.19089	12.6445	1.98248	0.0316056
32768	5	16	2.19089	14.4542	1.98248	0.063809
65536	5	16	2.19089	14.4542	1.98248	0.115872
131072	5	16	2.19089	14.4542	1.98248	0.235797
262144	5	16	2.19089	14.4542	1.98248	0.464355
524288	5	12	1.78885	10.8347	1.61869	0.866551
1048576	5	16	2.19089	14.4542	1.98248	2.02128
