Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	7.84	0.393617	1.33275	0.205591	0.000437136
2	1000	7.96	0.40551	1.38862	0.2053	0.000593426
4	1000	22.61	0.483413	5.05687	0.239213	0.000898501
8	1000	21.45	0.4777	6.998	0.279192	0.00144341
16	1000	15.68	0.454684	3.905	0.23303	0.00364252
32	1000	20.92	0.468138	5.78577	0.248582	0.00641065
64	1000	22.94	0.461038	7.99411	0.268173	0.00953304
128	1000	23.82	0.447446	10.5064	0.279858	0.0149117
256	1000	24.34	0.449404	12.6735	0.310883	0.0230945
512	1000	24.43	0.424588	14.3347	0.301886	0.0382845
1024	1000	26.43	0.390327	16.9268	0.27661	0.0671296
2048	1000	26.37	0.363487	17.9377	0.25102	0.119078
4096	1000	26.47	0.361717	18.7903	0.254682	0.211224
8192	1000	26.75	0.366248	19.2356	0.259506	0.393309
16384	1000	28.85	0.350396	20.6818	0.252814	0.760435
32768	1000	29.06	0.331536	20.8011	0.240634	1.42659
