Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	6.96	0.398445	1.14212	0.191731	0.000442446
2	1000	18.01	0.4845	3.11182	0.211365	0.000644173
4	1000	25.97	0.499058	6.21839	0.2724	0.00074751
8	1000	24.41	0.545025	7.51295	0.329838	0.00104724
16	1000	27.26	0.526206	10.6148	0.320472	0.00174543
32	1000	27.6	0.515984	11.8259	0.319489	0.00355088
64	1000	28.4	0.520038	12.5429	0.330782	0.00725531
128	1000	31.16	0.455691	15.0531	0.302564	0.0140704
256	1000	33.2	0.429139	16.9542	0.290586	0.0284999
512	1000	33.4	0.396787	17.8172	0.268329	0.0518163
1024	1000	33.59	0.388602	18.7151	0.26824	0.0992606
2048	1000	33.44	0.403443	19.3806	0.284804	0.195134
4096	1000	34.39	0.385782	20.3323	0.279344	0.393714
8192	1000	33.56	0.393353	20.2515	0.291128	0.827753
16384	1000	33.25	0.396658	20.243	0.293935	1.43742
32768	1000	32.79	0.381465	20.4006	0.275458	2.3416
