Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	6.36	0.401933	0.840604	0.203291	0.000423683
2	1000	11.72	0.438454	2.72928	0.215891	0.000488616
4	1000	21.95	0.467223	6.65724	0.275108	0.000522956
8	1000	24.35	0.473263	9.66311	0.311838	0.00074984
16	1000	26.12	0.541798	10.6034	0.326267	0.0015862
32	1000	26.74	0.527421	11.8451	0.330964	0.00284906
64	1000	26.36	0.543277	12.6836	0.335196	0.0056212
128	1000	27.64	0.513644	14.3052	0.324488	0.0107297
256	1000	29.86	0.487012	16.4578	0.304094	0.0218946
512	1000	31.97	0.422397	18.0035	0.272753	0.0449316
1024	1000	33.31	0.382288	19.6955	0.259038	0.0861218
2048	1000	34.28	0.370245	20.8786	0.255899	0.153024
4096	1000	34.01	0.361137	21.265	0.254855	0.293323
8192	1000	33.85	0.368887	21.4154	0.259441	0.568909
16384	1000	34.49	0.36158	21.7885	0.262463	1.04832
32768	1000	34.22	0.366322	21.7475	0.26984	1.84911
