Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	7.84	0.393617	1.33275	0.205591	0.000513387
2	1000	7.35	0.405805	0.986506	0.211327	0.000718536
4	1000	21.79	0.481763	4.26153	0.226367	0.00112419
8	1000	23.61	0.495245	7.48388	0.293064	0.00144837
16	1000	19.27	0.491495	3.98322	0.222408	0.00435874
32	1000	21.89	0.502522	5.17329	0.247698	0.00757046
64	1000	25.18	0.47746	7.30102	0.25179	0.013346
128	1000	26.57	0.444449	9.90605	0.269079	0.0207107
256	1000	27.53	0.442492	12.7812	0.29111	0.0292142
512	1000	29.02	0.425722	15.9203	0.29142	0.0477093
1024	1000	29.96	0.381049	17.8543	0.264857	0.0834501
2048	1000	30.31	0.361668	19.4519	0.251961	0.146511
4096	1000	30.13	0.357328	20.044	0.25399	0.267191
8192	1000	30.08	0.346978	20.7122	0.253778	0.50283
16384	1000	29.72	0.327294	20.9006	0.242505	1.05709
