Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	6.6	0.408216	1.15813	0.208597	0.000198088
2	1000	25.99	0.491141	5.85734	0.247232	0.000210615
4	1000	28.23	0.47515	10.8239	0.29745	0.000193522
8	1000	25.87	0.521961	11.7579	0.367951	0.000293496
16	1000	27.79	0.521551	12.4785	0.352321	0.000616236
32	1000	27.8	0.495136	11.7645	0.320365	0.00137251
64	1000	30.09	0.492232	12.6674	0.301503	0.00317095
128	1000	31.67	0.448454	13.5668	0.272921	0.00653975
256	1000	33.44	0.414929	15.5596	0.264827	0.0125385
512	1000	34.71	0.377513	17.0992	0.249488	0.024584
1024	1000	33.76	0.377707	17.6459	0.253386	0.0513534
2048	1000	34.05	0.38974	18.8998	0.267419	0.109515
4096	1000	33.88	0.391083	19.4807	0.279843	0.208066
8192	1000	33.61	0.39556	19.8318	0.286887	0.40111
16384	1000	33.41	0.386098	20.2969	0.284416	0.837051
