Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	6.94	0.421232	1.38014	0.213359	0.000182098
2	1000	24.63	0.470173	4.68429	0.232751	0.000223518
4	1000	28.44	0.474095	9.7547	0.293822	0.000242288
8	1000	27.79	0.485815	12.3119	0.31971	0.000335067
16	1000	28.45	0.499297	13.2259	0.334306	0.000671041
32	1000	28.09	0.5072	13.083	0.336139	0.00132561
64	1000	29.03	0.478497	13.933	0.311369	0.0029658
128	1000	32.23	0.442637	15.9247	0.291352	0.00662701
256	1000	33.32	0.396456	17.3423	0.269182	0.0121543
512	1000	34.53	0.362187	19.0841	0.249424	0.0249173
1024	1000	34.01	0.380552	19.2164	0.262373	0.0531915
2048	1000	34.16	0.377219	20.1644	0.263329	0.102152
4096	1000	33.88	0.380454	20.333	0.270216	0.211412
