Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	6.12	0.375161	0.993172	0.207819	0.000169497
2	1000	16.51	0.372451	5.0963	0.241312	0.00013256
4	1000	19.7	0.421082	9.80737	0.303207	0.000134603
8	1000	19.94	0.514584	11.771	0.389571	0.000212517
16	1000	20.98	0.54593	10.5055	0.357988	0.000636562
32	1000	20.61	0.601937	9.61618	0.37297	0.00157374
64	1000	22.43	0.580168	10.8635	0.348111	0.00307795
128	1000	23.36	0.552187	11.6769	0.327359	0.00611934
256	1000	24.98	0.530094	12.4605	0.304692	0.0143412
512	1000	27.95	0.52545	13.9456	0.302638	0.0323562
1024	1000	32.27	0.43903	16.8887	0.278052	0.0662814
2048	1000	34.2	0.357435	19.5377	0.259463	0.113942
4096	1000	34.4	0.347908	20.9952	0.252603	0.199331
8192	1000	34.02	0.342986	21.5573	0.252947	0.394553
16384	1000	34.24	0.358361	22.072	0.266684	0.860561
32768	1000	33.66	0.35271	21.9419	0.256398	1.67171
