Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	6.22	0.397129	1.05141	0.198445	0.000352646
2	1000	21.4	0.484809	3.98095	0.236272	0.000481104
4	1000	28.12	0.45085	8.43941	0.268419	0.000519216
8	1000	27.43	0.479056	10.7707	0.301955	0.000723526
16	1000	28.92	0.471204	13.0217	0.310935	0.00124219
32	1000	29.7	0.486117	13.9215	0.31106	0.00266569
64	1000	29.53	0.471889	14.2334	0.305148	0.0048034
128	1000	32.11	0.437548	16.4623	0.288669	0.00949161
256	1000	33.29	0.405063	18.0192	0.273014	0.0185942
512	1000	33.95	0.372421	19.5336	0.249076	0.0363383
1024	1000	34.5	0.368171	20.2283	0.254319	0.0779123
2048	1000	34.05	0.381441	20.4756	0.265491	0.178606
4096	1000	34.56	0.374708	21.0992	0.261702	0.328582
8192	1000	34.09	0.375462	20.9796	0.267797	0.733242
16384	1000	34.22	0.374155	21.2949	0.268591	1.42088
32768	1000	34.22	0.366322	21.5875	0.260829	2.58763
