Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	    1000	2.09	0.276282	0.170287	0.0580274	0.00247414
2	    1000	5.89	0.34294	    0.770177	0.0791694	0.00439983
4	    1000	14.28	0.448644	1.81123 	0.0978344	0.00729902
8	    1000	21.81	0.512078	2.80936	    0.118717	0.0122478
16	    1000	34.03	0.549053	5.22506 	0.152305	0.0190285
32	    1000	39.66	0.525057	6.84644 	0.169796	0.0302302
64	    1000	43.16	0.513434	9.51892 	0.191329	0.0760194
128	    1000	45.38	0.494829	11.5255	    0.187765	0.0779364
256	    1000	45.73	0.504844	13.5946 	0.204852	0.134279
512	    1000	45.36	0.480073	15.6986	    0.206007	0.244904
1024	1000	45.56	0.461613	17.2475	    0.213611	0.456426
2048	1000	44.85	0.458887	18.2524	    0.21103	    0.85452
4096	1000	44.29	0.465076	18.8737	    0.223494	1.61607
8192	1000	43.95	0.470848	19.3523	    0.22587	    3.06154
16384	628	    43.5191	0.62351	    19.6632 	0.295132	5.73522
