Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	    1000	1.89	0.272631	0.146264	0.063597	0.00107956
2	    1000	13.01	0.380841	1.38944	0.0879234	0.001744
4	    1000	30.44	0.471812	3.41468	0.113641	0.00255913
8	    1000	38.91	0.468521	6.36474	0.139852	0.0038482
16	    1000	43.08	0.508442	8.26853	0.166605	0.00681578
32	    1000	44.24	0.501819	8.91474	0.171928	0.0138464
64	    1000	44.82	0.503356	10.3551	0.187246	0.0265992
128	    1000	45.26	0.482631	11.5961	0.189535	0.0559053
256	    1000	46.83	0.501449	12.5618	0.196139	0.132211
512	    1000	46.93	0.469122	14.2318	0.215775	0.170746
1024	1000	47.69	0.455372	16.5766	0.216135	0.318224
2048	1000	47.28	0.437266	17.5923	0.213453	0.609145
4096	1000	47.75	0.442987	18.478	0.229682	1.18616
8192	1000	47	    0.444747	19.2464	0.226452	2.26832
16384	799	    46.2578	0.49387	    19.1904	0.25272	    4.50644
